epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2018,3.95846,7.88022,1.8304,0,0,0,0,2.90831,5.86858,1.21214,0.000323529,0.000323529,0.000323529
2,17.6967,3.02066,5.22966,1.22553,0.00242,0.08546,0.01888,0.00769,2.56504,5.02307,1.16441,0.000643857,0.000643857,0.000643857
3,25.2305,2.77871,4.17608,1.13719,0.42832,0.10141,0.14818,0.06084,2.56546,3.91,1.1724,0.000950984,0.000950984,0.000950984
4,32.9001,2.65502,3.60187,1.07936,0.42278,0.265,0.28062,0.11719,2.21159,3.22967,1.07814,0.0009406,0.0009406,0.0009406
5,40.5679,2.49355,3.16356,1.05028,0.43133,0.39164,0.34821,0.16596,2.14186,2.73636,1.07241,0.0009208,0.0009208,0.0009208
6,48.1805,2.43203,2.88021,1.02517,0.51504,0.44202,0.41186,0.18928,2.1027,2.42981,1.04416,0.000901,0.000901,0.000901
7,55.7255,2.3087,2.6111,1.02796,0.4935,0.4176,0.4203,0.18965,2.15017,2.268,1.05584,0.0008812,0.0008812,0.0008812
8,63.2953,2.31654,2.46748,1.02242,0.64171,0.44607,0.48267,0.20239,2.05371,2.20592,1.01314,0.0008614,0.0008614,0.0008614
9,70.7674,2.25481,2.29091,0.97275,0.54801,0.50205,0.48325,0.19802,2.04922,2.04263,1.00821,0.0008416,0.0008416,0.0008416
10,78.318,2.18133,2.128,0.9861,0.6109,0.51547,0.53119,0.2145,2.02252,1.91621,1.01212,0.0008218,0.0008218,0.0008218
11,85.9941,2.17697,2.00656,0.98426,0.65992,0.56091,0.55672,0.2295,2.06898,1.79383,1.01968,0.000802,0.000802,0.000802
12,93.6101,2.11223,1.88836,0.97497,0.61449,0.55348,0.51111,0.18246,2.2251,1.879,1.03236,0.0007822,0.0007822,0.0007822
13,101.139,2.1398,1.87441,0.96459,0.79153,0.58137,0.66435,0.28278,1.92258,1.58768,0.9803,0.0007624,0.0007624,0.0007624
14,108.734,2.04604,1.75972,0.96614,0.75988,0.59771,0.67455,0.31152,1.79913,1.64095,0.96042,0.0007426,0.0007426,0.0007426
15,116.359,2.04348,1.68663,0.95902,0.84956,0.58826,0.67623,0.31304,1.85149,1.50415,0.97543,0.0007228,0.0007228,0.0007228
16,123.913,2.01922,1.64135,0.94374,0.80707,0.65918,0.7452,0.33252,1.80559,1.37229,0.96918,0.000703,0.000703,0.000703
17,131.461,2.07549,1.62967,0.95604,0.77054,0.64995,0.71941,0.34974,1.75772,1.39123,0.96084,0.0006832,0.0006832,0.0006832
18,139.014,1.99057,1.53895,0.95307,0.83181,0.67814,0.73426,0.33492,1.78755,1.3817,0.95975,0.0006634,0.0006634,0.0006634
19,146.481,1.99596,1.48282,0.94426,0.77857,0.74264,0.78293,0.37432,1.78394,1.24687,0.95819,0.0006436,0.0006436,0.0006436
20,153.983,1.99832,1.49603,0.93197,0.85503,0.69188,0.77951,0.38859,1.70647,1.22357,0.94594,0.0006238,0.0006238,0.0006238
21,161.48,1.94337,1.4109,0.93869,0.81573,0.71231,0.78249,0.38347,1.73733,1.26592,0.95384,0.000604,0.000604,0.000604
22,169.015,1.94582,1.38213,0.93409,0.86352,0.71888,0.78456,0.38426,1.71651,1.20525,0.94877,0.0005842,0.0005842,0.0005842
23,176.529,1.9162,1.34622,0.93378,0.80227,0.74054,0.78234,0.3479,1.80146,1.23061,0.95832,0.0005644,0.0005644,0.0005644
24,184.117,1.9377,1.36478,0.91891,0.85852,0.73729,0.8079,0.37305,1.75689,1.14557,0.95117,0.0005446,0.0005446,0.0005446
25,191.764,1.91893,1.34312,0.92131,0.8836,0.70072,0.78693,0.35308,1.79259,1.19175,0.95827,0.0005248,0.0005248,0.0005248
26,199.334,1.87502,1.30141,0.91763,0.87545,0.71831,0.8086,0.36694,1.77077,1.12078,0.95315,0.000505,0.000505,0.000505
27,206.82,1.90014,1.29457,0.9159,0.86433,0.76652,0.81147,0.40033,1.7194,1.1118,0.9511,0.0004852,0.0004852,0.0004852
28,214.435,1.91263,1.27958,0.92558,0.85013,0.73788,0.80034,0.39861,1.67515,1.13357,0.93671,0.0004654,0.0004654,0.0004654
29,222.044,1.81935,1.21705,0.91226,0.86058,0.75978,0.82595,0.40481,1.71015,1.08982,0.94248,0.0004456,0.0004456,0.0004456
30,229.681,1.8242,1.20207,0.91272,0.89161,0.73893,0.82802,0.40714,1.69584,1.05995,0.94093,0.0004258,0.0004258,0.0004258
31,237.26,1.87939,1.24329,0.90998,0.82592,0.8075,0.83737,0.40788,1.69859,1.02738,0.94335,0.000406,0.000406,0.000406
32,244.902,1.82783,1.18344,0.90819,0.88289,0.75881,0.81697,0.35954,1.82346,1.07564,0.95866,0.0003862,0.0003862,0.0003862
33,252.519,1.8315,1.17435,0.92073,0.88695,0.74762,0.82195,0.38245,1.77088,1.09601,0.94768,0.0003664,0.0003664,0.0003664
34,260.127,1.80208,1.17321,0.89954,0.87267,0.78579,0.81896,0.399,1.69421,1.03728,0.93306,0.0003466,0.0003466,0.0003466
35,267.667,1.80272,1.14893,0.90775,0.83369,0.81525,0.84426,0.39518,1.7416,1.02941,0.93967,0.0003268,0.0003268,0.0003268
36,275.155,1.74575,1.11376,0.90774,0.88196,0.76529,0.83116,0.4113,1.71041,0.98548,0.93678,0.000307,0.000307,0.000307
37,282.748,1.7804,1.12377,0.91025,0.90562,0.79653,0.85758,0.43185,1.66341,0.97702,0.93366,0.0002872,0.0002872,0.0002872
38,290.28,1.76778,1.08901,0.89816,0.88132,0.78736,0.84361,0.42685,1.66057,0.96819,0.9354,0.0002674,0.0002674,0.0002674
39,297.806,1.74615,1.09333,0.90229,0.86939,0.80439,0.84446,0.41609,1.69184,0.97048,0.9343,0.0002476,0.0002476,0.0002476
40,305.296,1.72386,1.07252,0.90134,0.91218,0.80317,0.8636,0.41154,1.71604,0.9741,0.93839,0.0002278,0.0002278,0.0002278
41,314.389,1.72901,1.10244,0.93511,0.87507,0.80363,0.83539,0.4216,1.66325,0.98942,0.93255,0.000208,0.000208,0.000208
42,321.852,1.64666,1.00144,0.92063,0.8545,0.7951,0.84352,0.41676,1.67249,0.99839,0.9285,0.0001882,0.0001882,0.0001882
43,329.405,1.62214,0.98859,0.90769,0.87371,0.78938,0.83737,0.41122,1.69532,0.96853,0.93339,0.0001684,0.0001684,0.0001684
44,336.936,1.62792,0.96905,0.91705,0.90041,0.78638,0.84604,0.41613,1.68399,0.97756,0.93313,0.0001486,0.0001486,0.0001486
45,344.363,1.5698,0.94041,0.90831,0.90947,0.76464,0.84556,0.419,1.66568,0.94498,0.93165,0.0001288,0.0001288,0.0001288
46,352.295,1.5731,0.9299,0.90376,0.91106,0.77139,0.84487,0.42068,1.65684,0.93791,0.92864,0.000109,0.000109,0.000109
47,361.038,1.55404,0.92804,0.90475,0.86745,0.80331,0.84887,0.42895,1.63671,0.9286,0.92395,8.92e-05,8.92e-05,8.92e-05
48,370.068,1.54838,0.92558,0.90511,0.90108,0.7843,0.85393,0.424,1.66668,0.9188,0.93078,6.94e-05,6.94e-05,6.94e-05
49,379.263,1.53312,0.89021,0.90112,0.91974,0.77887,0.85664,0.43866,1.64277,0.90299,0.92827,4.96e-05,4.96e-05,4.96e-05
50,387.816,1.52988,0.90581,0.9036,0.91337,0.78847,0.85941,0.44143,1.62093,0.89572,0.9261,2.98e-05,2.98e-05,2.98e-05
